dimension,dense_multivector,single_grade,factored_blade
1,2,0,0
2,4,1,4
3,8,3,6
4,16,6,8
5,32,10,10
6,64,15,12
7,128,21,14
8,256,28,16
9,512,36,18
10,1024,45,20
11,2048,55,22
12,4096,66,24
