number,pdf_start,printed_start,title
1,372,357,Geometry on a Surface
2,384,369,Ruled Surfaces
3,401,386,Monoidal Transformations
4,410,395,The Cubic Surface in P^3
5,424,409,Birational Transformations
6,436,421,Classification of Surfaces
