d,d1,d2,N_d1,N_d2,bracket,contribution
2,1,1,1,1,1,1
3,1,2,1,1,0,0
3,2,1,1,1,3,12
4,1,3,1,12,-4,-144
4,2,2,1,1,28,224
4,3,1,12,1,5,540
