degree,point_constraints_k,stable_map_complex_dim,point_constraint_complex_codim,residual_complex_dim,rational_nodal_defect_needed,known_count_Nd
1,2,4,4,0,0,1
2,5,10,10,0,0,1
3,8,16,16,0,1,12
4,11,22,22,0,3,620
