curve,parameter_interval,sample_min_speed,sample_regular,period_residual,duplicate_point_residual,chapter_1_reading
regular parabola,"[-1.5, 1.5]",1.0,True,,,regular over the sampled interval
slowed parabola,"[-1.5, 1.5]",0.0,False,,,singular parameter values appear in the sample
ellipse,"[0, 6.28]",1.0,True,2.278663452567752e-15,,closed on the proposed period
limacon,"[0, 6.28]",1.0,True,3.6286633687608244e-15,7.691850745534258e-16,closed on the proposed period
semicubical cusp,"[-1.25, 1.25]",0.0,False,,0.0,singular parameter values appear in the sample
