operation,delta_vertices,delta_edges,delta_faces,delta_euler
relabel,0,0,0,0
rotate,0,0,0,0
reflect,0,0,0,0
subdivide,1,1,0,0
consolidate,-1,-1,0,0
cut,0,1,1,0
paste,0,-1,-1,0
unfold,1,1,0,0
fold,-1,-1,0,0
