surface,word,V,E,F,Euler characteristic,orientable,classification signal
sphere,a a^-1,2,1,1,2,True,sphere
torus,a b a^-1 b^-1,1,2,1,0,True,orientable genus 1
projective plane,a a,1,1,1,1,False,nonorientable genus 1
Klein bottle,a b a b^-1,1,2,1,0,False,nonorientable genus 2
