number,pdf_start,printed_start,title
1,464,449,The Zeta Function and the Weil Conjectures
2,466,451,History of Work on the Weil Conjectures
3,468,453,The l-adic Cohomology
4,469,454,Cohomological Interpretation of the Weil Conjectures
