P1_points,elliptic_points,hasse_bound,q,trace_a
4,4,3.4641016151377544,3,0
6,9,4.47213595499958,5,-3
8,5,5.291502622129181,7,3
12,14,6.6332495807108,11,-2
14,18,7.211102550927978,13,-4
