case,metric_offdiag,shape_operator_euclidean_symmetry_residual,shape_operator_metric_self_adjoint_residual,kappa_max,kappa_min,normal_profile_max,normal_profile_min,extrema_residual,orthonormal_frame_residual
orthogonal coordinates,0.0,0.13598207330510528,0.0,0.875447879125778,-0.46679403297193184,0.8754478708744916,-0.46679402472064524,8.251286598426333e-09,2.220446049250313e-16
skew surface coordinates,0.62,0.13221415372490072,0.0,0.5450828035174025,-0.2195590369033003,0.545082154805024,-0.2195583881909217,6.487123786202975e-07,1.2446495468640183e-16
near umbilic,-0.25,0.03741541393365038,0.0,0.6761076795788706,0.45019153301955445,0.676107678071024,0.4501915345274011,1.507846680848246e-09,3.9190230463618463e-17
