presentation,generators,relations,exponent_sum_rows,abelianized_rank_lower_bound,relation_matrix_rank
free_F2,"x,y",none,[],2,0
commuting_torus_Z2,"x,y",xyXY,"[[0, 0]]",2,0
dihedral_D10,"x,y","xxxxx, yy, xyxy","[[5, 0], [0, 2], [2, 2]]",0,2
trefoil_style_braid,"a,b",abaBAB,"[[1, -1]]",1,1
