raw_word,quotient_normal_form,state_label,same_action_after_rewrite,rewrite_idempotent
xyxxy,xxxx,x^4,True,True
yyxxxxy,xxxxy,x^4y,True,True
xyxyx,x,x,True,True
yxyx,e,e,True,True
xxxxyxy,xxx,x^3,True,True
Xyxyx,xxxx,x^4,True,True
