norm,unit_ball_area,polar_unit_ball_area,busemann_density_pi_over_area,holmes_thompson_density_polar_over_pi
l1 diamond,2.0,4.0,1.5707963267948966,1.2732395447351628
l2 disk,3.141592653589793,3.141592653589793,1.0,1.0
linf square,4.0,2.0,0.7853981633974483,0.6366197723675814
