det_residual,line_pair_real,rank_score_after_split,root_t
6.975333834345156e-17,True,3.7284513366185674e-14,-1.0761275283255172
5.108956298418385e-17,True,4.0295429153717176e-14,-0.9671139404538224
1.981988996970569e-17,True,2.679618846018654e-16,-0.5300101701643948
