delta,p,newton_constant,tolerance,first_R,final_corrected_error,monotone_corrected
0.16,3.25,0.22,0.01,35.24649298597194,0.0016124462345712205,True
0.22,3.25,0.22,0.01,27.839679358717433,0.0010896259154453618,True
0.32,3.25,0.22,0.01,21.490981963927855,0.0006870898567841288,True
0.22,2.45,0.22,0.01,20.168336673346694,0.00027486129793708066,True
0.22,3.25,0.34,0.01,36.833667334669336,0.0016839673238701048,True
