genus,degree_c1,complex_index,real_index
0,-3,-2,-4
0,-2,-1,-2
0,-1,0,0
0,0,1,2
0,1,2,4
0,2,3,6
0,3,4,8
0,4,5,10
0,5,6,12
0,6,7,14
1,-3,-3,-6
1,-2,-2,-4
1,-1,-1,-2
1,0,0,0
1,1,1,2
1,2,2,4
1,3,3,6
1,4,4,8
1,5,5,10
1,6,6,12
2,-3,-4,-8
2,-2,-3,-6
2,-1,-2,-4
2,0,-1,-2
2,1,0,0
2,2,1,2
2,3,2,4
2,4,3,6
2,5,4,8
2,6,5,10
3,-3,-5,-10
3,-2,-4,-8
3,-1,-3,-6
3,0,-2,-4
3,1,-1,-2
3,2,0,0
3,3,1,2
3,4,2,4
3,5,3,6
3,6,4,8
