space,generators,relators,abelianization_rank,abelianization_torsion,abelianization_readout,expected_sanity_target
convex set or disk,none,none,0,none,0,0
"circle, annulus core, cylinder core",a,none,1,none,Z,Z
wedge S^1 v S^1,a.b,none,2,none,Z^2,Z^2 after abelianization
torus,a.b,a b A B,2,none,Z^2,Z^2
Klein bottle,a.b,a a B B,1,2,Z x Z/2,Z x Z/2 after abelianization
projective plane,a,a a,0,2,Z/2,Z/2
"lens space L(5,q)",a,a a a a a,0,5,Z/5,Z/5
S^n for n >= 2,none,none,0,none,0,0
