r,sphere_area_ratio,flat_area_ratio,hyperbolic_area_ratio,sphere_curvature_estimate,hyperbolic_curvature_estimate,sphere_jacobi_factor,hyperbolic_jacobi_factor
0.05,0.9997916840269737,1.0,1.000208350695253,0.9999166705259839,-1.0000833372145133,0.9995833854135666,1.0004167187531003
0.13108108108108107,0.998568965679506,1.0,1.001432674485656,0.9994274340344443,-1.0005729174347144,0.9971387509384257,1.0028661695572012
0.21216216216216216,0.9962545584200944,1.0,1.0037566979768648,0.9985007793369257,-1.0015016327467308,0.9925147359953032,1.0075190332046264
0.29324324324324325,0.9928545422778142,1.0,1.007186538644795,0.9971380106612467,-1.0028707923862423,0.9857295619948211,1.0143936808935479
0.3743243243243243,0.9883778422451717,1.0,1.0117312317909921,0.9953410449572864,-1.004682327998115,0.976809949017194,1.0235172739410867
0.46081081081081077,0.9824292288913631,1.0,1.017821279349599,0.9929485565920032,-1.0071051234688861,0.9649827642425828,1.0357687649626948
0.5418918918918919,0.9757677030495367,1.0,1.024711352126217,0.9902629319524375,-1.0098397217168915,0.9517724298710548,1.0496647520481834
0.6229729729729729,0.9680742191494367,1.0,1.0327625724200278,0.9871527572579737,-1.0130265521359603,0.9365610599219706,1.0659493647997857
0.7040540540540541,0.9593688453569938,1.0,1.0419962804650902,0.9836223834649973,-1.0166701352861243,0.9194082366562368,1.0846872739117954
0.7905405405405405,0.9489933582576123,1.0,1.0531766317529658,0.9793990626563759,-1.0210659144571226,0.8990476630882633,1.1074626432491852
0.8716216216216216,0.9382713577549318,1.0,1.0649355702358752,0.9750165348736076,-1.0256706186743185,0.8781030406902204,1.1315184777483442
0.9527027027027026,0.9266147862040078,1.0,1.0779627107956509,0.9702307064961,-1.030750093416592,0.8554448792734733,1.1582891080159963
1.0337837837837838,0.9140536984883046,1.0,1.092292954709716,0.9650482062346144,-1.036311613462318,0.8311610457041019,1.1878817900031284
1.1202702702702703,0.8996946223998326,1.0,1.1090583275720196,0.9590910572655302,-1.0427842374672869,0.8035723032228822,1.2226920164289128
1.2013513513513512,0.8853688148008727,1.0,1.1262079477521738,0.9531120192687595,-1.049368125444072,0.7762324538851454,1.2585074004835735
1.2824324324324323,0.8702439627570714,1.0,1.1447908665647382,0.9467598547311545,-1.0564608992996978,0.7475718927349938,1.297548727693627
1.3635135135135135,0.8543583887882704,1.0,1.164857614638874,0.9400432338826845,-1.064072856005533,0.7177000582320134,1.339974298825918
1.45,0.8366204334198653,1.0,1.1879594783650962,0.9324874192445265,-1.0727770465546518,0.6846296489914403,1.3891531817500067
