x,w_left,w_middle,w_right,sum
-2.65,0.0,0.0,0.0,0.0
-2.4756080114449213,0.0,0.0,0.0,0.0
-2.3012160228898426,1.0,0.0,0.0,1.0
-2.126824034334764,1.0,0.0,0.0,1.0
-1.9448497854077251,1.0,0.0,0.0,1.0
-1.7704577968526465,1.0,0.0,0.0,1.0
-1.5960658082975678,1.0,0.0,0.0,1.0
-1.4140915593705292,1.0,0.0,0.0,1.0
-1.2396995708154506,0.9994223059459101,0.0005776940540898495,0.0,0.9999999999999999
-1.065307582260372,0.8662174648991359,0.13378253510086416,0.0,1.0
-0.8833333333333333,0.6888601960305887,0.3111398039694113,0.0,1.0
-0.7089413447782547,0.5826960512643935,0.41730394873560656,0.0,1.0
-0.534549356223176,0.5040608693066421,0.4959391306933579,0.0,1.0
-0.36015736766809736,0.4267048108724517,0.5732951891275483,0.0,1.0
-0.17818311874105852,0.3193444737834314,0.6795583123940419,0.0010972138225267903,1.0
-0.003791130185979874,0.1360297477243296,0.7368536215900774,0.12711663068559304,1.0
0.17060085836909877,0.0019081627522721713,0.6845972988864394,0.3134945383612886,1.0
0.35257510729613717,0.0,0.5769922085719427,0.4230077914280572,0.9999999999999999
0.5269670958512158,0.0,0.49916361075927723,0.5008363892407227,1.0
0.7013590844062945,0.0,0.4210716040552399,0.5789283959447601,1.0
0.8833333333333333,0.0,0.3111398039694113,0.6888601960305887,1.0
1.057725321888412,0.0,0.14258451320575372,0.8574154867942463,1.0
1.2321173104434906,0.0,0.001170426731145757,0.9988295732688542,1.0
1.4065092989985692,0.0,0.0,1.0,1.0
1.5884835479256076,0.0,0.0,1.0,1.0
1.7628755364806863,0.0,0.0,1.0,1.0
1.937267525035765,0.0,0.0,1.0,1.0
2.119241773962804,0.0,0.0,1.0,1.0
2.293633762517883,0.0,0.0,1.0,1.0
2.4680257510729615,0.0,0.0,0.0,0.0
2.65,0.0,0.0,0.0,0.0
