basis_terms,l2_error_to_clean,retained_energy_fraction_of_noisy
1,0.6542062027828084,0.6879492807971513
3,0.4110309815482367,0.8438818250602204
5,0.26035735926923087,0.8992892235327217
7,0.1293870019384195,0.9302989744361626
9,0.12945420754390222,0.9303090776446614
13,0.0354879502041372,0.9429415720942667
