artifact,category,bytes,chapter
isometry-classification-grid.png,figures,48196,The Theory of Isometries
double-reflection-composition.png,figures,41527,The Theory of Isometries
pencils-and-cycles.png,figures,80774,The Theory of Isometries
isometry-group-dependency-graph.png,figures,70911,The Theory of Isometries
parameter-lab.html,html,16740,The Theory of Isometries
chapter-checks.json,checks,253,The Theory of Isometries
visual-storyboard.json,checks,2063,The Theory of Isometries
