concept,artifact
Differentiable,manifolds-initial-model.png
Tangent,manifolds-initial-model.png
Vectors,manifolds-initial-model.png
Differentials,manifolds-initial-model.png
Submanifolds,manifolds-initial-model.png
Inverse,manifolds-initial-model.png
Implicit,manifolds-initial-model.png
