moved_site,dx,changed_grid_fraction,delaunay_edge_symmetric_difference
5,-0.08,0.030854700854700854,2
5,-0.04,0.015995115995115994,0
5,0.0,0.0,0
5,0.04,0.018394383394383394,0
5,0.08,0.04219169719169719,2
5,0.12,0.06568986568986569,4
