n,hull_vertices_h,V_finite_vertices,E_voronoi_edges_or_ridges,F_regions,Euler_(V+1)-E+F,V_bound_2n_minus_5,E_bound_3n_minus_6,V_expected_2n_minus_2_minus_h,E_expected_3n_minus_3_minus_h,Delaunay_triangles
6,4,6,11,6,2,7,12,6,11,6
8,5,9,16,8,2,11,18,9,16,9
10,7,11,20,10,2,15,24,11,20,11
14,6,20,33,14,2,23,36,20,33,20
18,9,25,42,18,2,31,48,25,42,25
24,9,37,60,24,2,43,66,37,60,37
32,11,51,82,32,2,59,90,51,82,51
