imag_abs,magnitude,method,real_part
4.3534103427776787e-17,1.974044520340126,complex cross-ratio,1.974044520340126
1.451136780925893e-16,1.9740445203401258,bracket expression with I,1.9740445203401258
0.0,1.9740445203401262,chord-length magnitude,1.9740445203401262
