map,isometry,conformal,equiareal,lambda_if_conformal,conformal_residual,area_factor,metric_difference_norm
plane to cylinder wrap,True,True,True,1.0,0.0,1.0,0.0
plane dilation by 1.40,False,True,False,1.9599999999999997,0.0,1.9599999999999997,1.3576450198781709
"stereographic inverse at (0.8,-0.45)",False,True,False,1.1782704830356663,0.0,1.1782704830356663,0.25211253487984203
Archimedes sphere to cylinder at theta=0.6,False,False,True,,0.5563970790728647,1.0,0.45088115578056154
