absolute_error,constructed,construction,expected,input_x,input_y,inspection_target,symbolic_formula
4.440892098500626e-16,3.650000000000001,addition,3.6500000000000004,1.45,2.2,join/meet endpoint should sit at x plus y on the base line,x + y
8.881784197001252e-16,3.189999999999999,multiplication,3.19,1.45,2.2,join/meet endpoint should sit at x times y on the base line,x*y
