cross_ratio,tau
1.388888888888889,-0.8
1.3888888888888886,-0.7200000000000001
1.3888888888888888,-0.64
1.3888888888888886,-0.56
1.3888888888888888,-0.48000000000000004
1.3888888888888888,-0.4
1.3888888888888884,-0.32000000000000006
1.3888888888888886,-0.24
1.3888888888888888,-0.16000000000000003
1.3888888888888888,-0.08000000000000007
1.3888888888888888,0.0
1.3888888888888888,0.07999999999999996
1.388888888888889,0.15999999999999992
1.3888888888888888,0.24
1.3888888888888888,0.32000000000000006
1.388888888888889,0.3999999999999999
1.3888888888888886,0.48
1.3888888888888888,0.56
1.3888888888888884,0.6399999999999999
1.3888888888888884,0.72
1.3888888888888888,0.8
