inspection_target,klein_radius,poincare_distance_from_origin,poincare_radius
central deformation increases boundary resolution while distance grows,0.0,0.0,0.0
central deformation increases boundary resolution while distance grows,0.22,0.22365610902183236,0.11136421881556409
central deformation increases boundary resolution while distance grows,0.4,0.4236489301936021,0.20871215252208003
central deformation increases boundary resolution while distance grows,0.58,0.6624627073717992,0.3196267686609447
central deformation increases boundary resolution while distance grows,0.72,0.9076449833191245,0.42503602372791816
central deformation increases boundary resolution while distance grows,0.84,1.2211735176846024,0.5445400016071174
central deformation increases boundary resolution while distance grows,0.91,1.5275244253552056,0.6432876386455412
