scale_factor,cylinder_ratio,ball_capacity,cylinder_capacity,nonsqueezing_feasible,hofer_proxy,lower_window,hofer_bound_respected
0.6,0.85,1.1309733552923256,0.8171282491987052,False,0.6875,0.46875,True
0.6,1.0,1.1309733552923256,1.1309733552923256,True,0.7040000000000001,0.48,True
0.6,1.2,1.1309733552923256,1.6286016316209486,True,0.7260000000000001,0.495,True
0.8,0.85,2.0106192982974678,1.4526724430199207,False,0.8855000000000002,0.60375,True
0.8,1.0,2.0106192982974678,2.0106192982974678,True,0.9020000000000001,0.615,True
0.8,1.2,2.0106192982974678,2.895291789548353,True,0.9240000000000002,0.6300000000000001,True
1.0,0.85,3.141592653589793,2.269800692218625,False,1.0835000000000001,0.73875,True
1.0,1.0,3.141592653589793,3.141592653589793,True,1.1,0.75,True
1.0,1.2,3.141592653589793,4.523893421169302,True,1.122,0.765,True
1.2,0.85,4.523893421169303,3.2685129967948208,False,1.2815000000000003,0.8737500000000002,True
1.2,1.0,4.523893421169303,4.523893421169303,True,1.2980000000000005,0.8850000000000002,True
1.2,1.2,4.523893421169303,6.514406526483796,True,1.3200000000000003,0.9000000000000001,True
1.4,0.85,6.157521601035996,4.448809356748507,False,1.4795000000000003,1.00875,True
1.4,1.0,6.157521601035996,6.157521601035996,True,1.4960000000000004,1.0200000000000002,True
1.4,1.2,6.157521601035996,8.866831105491833,True,1.5180000000000005,1.0350000000000001,True
1.6,0.85,8.042477193189871,5.810689772079683,False,1.6775000000000002,1.14375,True
1.6,1.0,8.042477193189871,8.042477193189871,True,1.6940000000000004,1.1550000000000002,True
1.6,1.2,8.042477193189871,11.581167158193413,True,1.7160000000000002,1.17,True
1.8,0.85,10.17876019763093,7.354154242788347,False,1.8755000000000002,1.27875,True
1.8,1.0,10.17876019763093,10.17876019763093,True,1.8920000000000003,1.29,True
1.8,1.2,10.17876019763093,14.65741468458854,True,1.9140000000000004,1.3050000000000002,True
