solid,symbol,p,q,k,R0_circumradius,R1_midradius,R2_inradius,phi_degrees,psi_degrees,dihedral_degrees,angular_defect_degrees
tetrahedron,"{3,3}",3,3,0.7071067811865474,0.6123724356957947,0.35355339059327395,0.20412414523193168,54.73561031724534,54.73561031724534,70.52877936550932,180.0
cube,"{4,3}",4,3,0.4999999999999998,0.8660254037844389,0.7071067811865479,0.5000000000000004,35.26438968275465,44.999999999999986,90.00000000000003,90.0
octahedron,"{3,4}",3,4,0.5,0.7071067811865476,0.5000000000000001,0.4082482904638632,44.999999999999986,35.26438968275465,109.4712206344907,119.99999999999997
icosahedron,"{3,5}",3,5,0.30901699437494723,0.9510565162951542,0.8090169943749481,0.7557613140761714,31.71747441146099,20.905157447889287,138.18968510422144,59.99999999999993
dodecahedron,"{5,3}",5,3,0.30901699437494723,1.4012585384440743,1.3090169943749483,1.1135163644116077,20.905157447889287,31.71747441146099,116.56505117707802,36.00000000000005
