left,right,possible_products
(12)H,(12)H,"(13)H, (23)H"
(12)H,(13)H,"(13)H, (23)H"
(13)H,(12)H,"(12)H, (23)H"
(13)H,(13)H,"(12)H, (23)H"
(23)H,(12)H,"(12)H, (13)H"
(23)H,(13)H,"(12)H, (13)H"
