left_coset,left_members,A3_times,A3_members,sA3_times,sA3_members
A3,"(123), (132), 1",A3,"(123), (132), 1",sA3,"(12), (13), (23)"
sA3,"(12), (13), (23)",sA3,"(123), (132), 1",A3,"(12), (13), (23)"
