circle_center,circle_radius,meets_r,limiting_parallel
-2.2,2.973213749463701,True,False
-1.5,2.5,False,True
-1.0,2.23606797749979,False,False
-0.4,2.039607805437114,False,False
0.4,2.039607805437114,False,False
1.0,2.23606797749979,False,False
1.5,2.5,False,True
2.2,2.973213749463701,True,False
