,e,r,r^2,s,rs,r^2s
e,e,r,r^2,s,rs,r^2s
r,r,r^2,e,rs,r^2s,s
r^2,r^2,e,r,r^2s,s,rs
s,s,r^2s,rs,e,r^2,r
rs,rs,s,r^2s,r,e,r^2
r^2s,r^2s,rs,s,r^2,r,e
