winding,numeric_integral,expected_2pi_winding,absolute_error
-2,-12.56639849302533,-12.566370614359172,2.78786661578323e-05
-1,-6.283188480410327,-6.283185307179586,3.1732307403942173e-06
0,2.1094237467877974e-15,0.0,2.1094237467877974e-15
1,6.283188480410327,6.283185307179586,3.1732307403942173e-06
2,12.56639849302533,12.566370614359172,2.78786661578323e-05
