group,visible_generators,local_brick_symmetry_kept,fundamental_region,brick_ratio
p2,translations and half-turns,C2,half brick,2.0
cmm,centered mirrors and half-turns,D1 plus centers,quarter brick,2.0
pmm,perpendicular mirrors,D2,quarter brick,2.0
pmg,mirrors plus glides,D1,half brick,2.0
pgg,two glide directions,C2,half brick,2.0
p4g,quarter-turns and glides,D1 in a square block,half brick,2.0
