angle_degrees,determinant_area,dirichlet_area,area_error,side_count,neighbor_count
60,0.8660254037844386,0.8660254037844386,0.0,6,6
70,0.9396926207859083,0.9396926207859082,1.1102230246251565e-16,6,6
80,0.984807753012208,0.984807753012208,0.0,6,6
90,1.0,0.9999999999999999,1.1102230246251565e-16,4,4
