symbol,p,q,dual,angle_sum_over_2pi,factor_check
"{6,3}",6,3,"{3,6}",1.0000000000000002,4
"{4,4}",4,4,"{4,4}",1.0,4
"{3,6}",3,6,"{6,3}",1.0000000000000002,4
