geometry,curvature,fibered,group_like
S^3,1,False,False
E^3,0,False,True
H^3,-1,False,False
S^2 x R,1,True,False
H^2 x R,-1,True,False
Nil,0,True,True
Sol,0,True,True
SL2~,-1,True,True
