artifact,bytes,category,chapter
circle-growth-curvature.png,57433,figures,Geometry on Surfaces
scaled-xk-models.png,69439,figures,Geometry on Surfaces
angle-of-parallelism.png,74349,figures,Geometry on Surfaces
polygonal-surface-classifier.png,40467,figures,Geometry on Surfaces
gauss-bonnet-surface-map.png,60566,figures,Geometry on Surfaces
quotient-dirichlet-domains.png,31959,figures,Geometry on Surfaces
