family,p,q,rank,p_dimension
BDI,3,1,1,3
AIII,3,1,1,6
CII,3,1,1,12
BDI,4,2,2,8
AIII,4,2,2,16
CII,4,2,2,32
BDI,5,3,3,15
AIII,5,3,3,30
CII,5,3,3,60
