n,epsilon,amplitude,frequency,target_saw_slope,min_sampled_witness,median_sampled_witness,p10_sampled_witness,p90_sampled_witness,uniform_error_bound
1,0.11,0.0275,69,3.759291886010284,2.156691462174516,3.897353585869786,2.7034566940261535,5.126183523483679,0.0275
2,0.11,0.018333333333333333,130,4.759291886010284,3.1256497525186933,4.863445987067645,3.6236897190633353,6.062892720587775,0.018333333333333333
3,0.11,0.01375,210,5.759291886010284,4.133935898495261,5.87079565277563,4.591490602279635,7.073912262284553,0.01375
4,0.11,0.011,308,6.759291886010284,5.13491671903118,6.867935557890051,5.5533125379821096,8.075649297731625,0.011
5,0.11,0.009166666666666667,424,7.759291886010284,6.132229623458551,7.868953966826817,6.564056751828033,9.072226462364846,0.009166666666666667
6,0.11,0.007857142857142858,558,8.759291886010285,7.1274730830632,8.86382119971347,7.542589692906741,10.06030259798637,0.007857142857142858
