distance_to_removed_sample,finite_witness,interval_left,interval_right
0.055460181211254164,0.05565092989985694,0.02,0.16
0.023727774371551213,0.3094420600858369,0.18,0.31
0.027773009060562737,0.47221745350500716,0.43,0.56
0.0237563866748417,0.6905293276108726,0.62,0.72
0.06249642346208861,0.9374964234620886,0.83,0.96
