k,model,angle_sum_radians,angle_sum_minus_pi,R_k,perimeter_allowed_for_unique_small_triangle
-1.0,hyperbolic,2.87556457364759,-0.266028079942203,inf,inf
0.0,Euclidean,3.1415926535897936,4.440892098500626e-16,inf,inf
1.0,sphere,3.4572459228670898,0.31565326927729664,3.141592653589793,6.283185307179586
