group,sample_order,pole_signature,source_role
C_n,5,two n-gonal pole sets,single rotation axis
D_p,10,"(2, 2, 5)",prism/pyramid rotations
A4,12,"(2, 3, 3)",tetrahedron rotations
S4,24,"(2, 3, 4)",cube/octahedron rotations
A5,60,"(2, 3, 5)",dodecahedron/icosahedron rotations
