system,count,groups
triclinic,2,C1; {I}
monoclinic,3,C2; C2 x {I}; C2C1
orthorhombic,3,D2; D2 x {I}; D2C2
rhombohedral,5,C3; C3 x {I}; D3; D3 x {I}; D3C3
tetragonal,7,C4; C4 x {I}; C4C2; D4; D4 x {I}; D4C4; D4D2
hexagonal,7,C6; C6 x {I}; C6C3; D6; D6 x {I}; D6C6; D6D3
cubic,5,A4; A4 x {I}; S4; S4 x {I}; S4A4
