signature,reciprocal_sum,type
"(2, 3, 3)",7/6,spherical / finite
"(2, 3, 4)",13/12,spherical / finite
"(2, 3, 5)",31/30,spherical / finite
"(2, 3, 6)",1,Euclidean / wallpaper limit
"(2, 4, 4)",1,Euclidean / wallpaper limit
"(3, 3, 3)",1,Euclidean / wallpaper limit
"(2, 3, 7)",41/42,hyperbolic / infinite
"(6, 3, 3)",5/6,hyperbolic / infinite
