artifact,category,bytes,chapter
line-descriptions-and-edge-cases.png,figures,35090,Betweenness and Elementary Figures
betweenness-parameter-interval.png,figures,31343,Betweenness and Elementary Figures
angles-from-rays.png,figures,36511,Betweenness and Elementary Figures
triangle-membership-barycentric.png,figures,44832,Betweenness and Elementary Figures
parameter-lab.html,html,16709,Betweenness and Elementary Figures
chapter-checks.json,checks,219,Betweenness and Elementary Figures
visual-storyboard.json,checks,2048,Betweenness and Elementary Figures
