method,reprojection_rmse_pixels,mean_world_error,positive_depth_fraction,min_depth_camera_1,min_depth_camera_2
homogeneous_dlt,1.7426511011684265,0.034968171895604985,1.0,6.600328874582053,6.546773123665687
inhomogeneous_w_equals_1,1.742599887186275,0.034976796417351325,1.0,6.600087149452198,6.5462095040921
ray_midpoint,1.742710843296036,0.03497721994136673,1.0,6.600124674186937,6.546306749956264
optimal_corrected_dlt,1.7360953227221763,0.035051945860233504,1.0,6.600186016642393,6.546438244522278
nonlinear_refinement,1.736095322722169,0.035051945930990175,1.0,6.600186016013143,6.5464382442752775
