bracket_degree,factors,monomial,point_1,point_2,point_3,point_4,point_5,point_6,weight_signature
2,"[1,3,5] [2,4,5]",cross-ratio numerator,1,1,1,1,2,0,"1,1,1,1,2,0"
2,"[1,4,5] [2,3,5]",cross-ratio denominator,1,1,1,1,2,0,"1,1,1,1,2,0"
4,"[1,2,3] [1,5,6] [4,2,6] [4,5,3]",conic monomial A,2,2,2,2,2,2,"2,2,2,2,2,2"
4,"[4,5,6] [4,2,3] [1,5,3] [1,2,6]",conic monomial B,2,2,2,2,2,2,"2,2,2,2,2,2"
