bracket_original,bracket_projective_image,image_div_detH,scale_residual,triple
3.6540000000000004,4.742365823999999,3.654,-4.440892098500626e-16,123
3.9452000000000007,5.1203014912,3.9452000000000003,-4.440892098500626e-16,124
1.6926000000000003,2.1967510656,1.6926,-2.220446049250313e-16,125
2.9175999999999993,3.7866246655999998,2.9176,8.881784197001252e-16,126
-2.634,-3.418552703999999,-2.6339999999999995,4.440892098500626e-16,134
-1.836,-2.3828636159999994,-1.8359999999999996,4.440892098500626e-16,135
-3.774000000000001,-4.898108543999999,-3.774,8.881784197001252e-16,136
-0.7622000000000001,-0.9892258432000004,-0.7622000000000003,-2.220446049250313e-16,145
-1.9716000000000002,-2.5588528896,-1.9716,2.220446049250313e-16,146
-0.2822000000000002,-0.3662549631999997,-0.2821999999999998,3.885780586188048e-16,156
-2.9252000000000002,-3.796488371200001,-2.925200000000001,-8.881784197001252e-16,234
0.12539999999999993,0.1627511423999998,0.12539999999999984,-8.326672684688674e-17,235
-3.0376,-3.9423673855999994,-3.0376,0.0,236
1.4904,1.9343245824000002,1.4904000000000002,2.220446049250313e-16,245
-0.9440000000000001,-1.2251760639999996,-0.9439999999999997,3.3306690738754696e-16,246
-1.5071999999999999,-1.9561285631999996,-1.5071999999999999,0.0,256
-1.5602,-2.0249149312000005,-1.5602000000000005,-4.440892098500626e-16,345
-0.8316000000000001,-1.0792970496000012,-0.831600000000001,-8.881784197001252e-16,346
1.6557999999999995,2.1489899647999993,1.6557999999999995,0.0,356
0.9272,1.2033720831999997,0.9271999999999998,-2.220446049250313e-16,456
