entry_type,normalized_bracket,point,reconstructed_bracket,residual,triple,x_from_[23i],y_from_-[13i],z_from_[12i]
coordinate,,4,,,,-0.8005473453749316,0.7208538587848932,1.0796934865900385
coordinate,,5,,,,0.034318555008210155,0.5024630541871921,0.46321839080459776
coordinate,,6,,,,-0.8313081554460864,1.032840722495895,0.7984674329501913
bracket_residual,1.0,,1.0,0.0,123,,,
bracket_residual,1.0796934865900385,,1.0796934865900385,0.0,124,,,
bracket_residual,0.46321839080459776,,0.46321839080459776,0.0,125,,,
bracket_residual,0.7984674329501913,,0.7984674329501913,0.0,126,,,
bracket_residual,-0.7208538587848932,,-0.7208538587848932,0.0,134,,,
bracket_residual,-0.5024630541871921,,-0.5024630541871921,0.0,135,,,
bracket_residual,-1.032840722495895,,-1.032840722495895,0.0,136,,,
bracket_residual,-0.20859332238642583,,-0.20859332238642583,0.0,145,,,
bracket_residual,-0.5395730706075533,,-0.5395730706075541,-7.771561172376096e-16,146,,,
bracket_residual,-0.07723043240284623,,-0.07723043240284655,-3.191891195797325e-16,156,,,
bracket_residual,-0.8005473453749316,,-0.8005473453749316,0.0,234,,,
bracket_residual,0.034318555008210155,,0.03431855500821015,-6.938893903907228e-18,235,,,
bracket_residual,-0.8313081554460864,,-0.8313081554460864,0.0,236,,,
bracket_residual,0.4078817733990147,,0.4078817733990149,1.6653345369377348e-16,245,,,
bracket_residual,-0.2583470169677066,,-0.25834701696770696,-3.3306690738754696e-16,246,,,
bracket_residual,-0.41247947454844,,-0.41247947454844003,-5.551115123125783e-17,256,,,
bracket_residual,-0.42698412698412697,,-0.42698412698412685,1.1102230246251565e-16,345,,,
bracket_residual,-0.22758620689655173,,-0.22758620689655196,-2.220446049250313e-16,346,,,
bracket_residual,0.4531472359058564,,0.4531472359058565,5.551115123125783e-17,356,,,
bracket_residual,0.2537493158182813,,0.2537493158182817,3.885780586188048e-16,456,,,
