abs_error,computed,cycle_formula,index
1.9120518543201207e-16,-1.9120518543201207e-16,0.0,0
1.249000902703301e-16,0.12061475842818327,0.12061475842818314,1
2.220446049250313e-15,0.12061475842818536,0.12061475842818314,2
7.771561172376096e-16,0.4679111137620432,0.467911113762044,3
4.218847493575595e-15,0.46791111376204864,0.4679111137620444,4
1.5543122344752192e-15,0.9999999999999982,0.9999999999999998,5
8.881784197001252e-16,1.0000000000000022,1.0000000000000013,6
3.1086244689504383e-15,1.652703644666136,1.6527036446661392,7
1.5543122344752192e-15,1.6527036446661416,1.65270364466614,8
4.440892098500626e-16,2.34729635533386,2.3472963553338606,9
4.440892098500626e-16,2.347296355333861,2.3472963553338606,10
2.6645352591003757e-15,2.999999999999997,2.9999999999999996,11
8.881784197001252e-16,3.0,3.000000000000001,12
8.881784197001252e-16,3.532088886237955,3.532088886237956,13
1.3322676295501878e-15,3.5320888862379554,3.5320888862379567,14
2.6645352591003757e-15,3.879385241571814,3.879385241571817,15
1.7763568394002505e-15,3.879385241571815,3.879385241571817,16
2.6645352591003757e-15,3.9999999999999973,4.0,17
