L_star,a_star,b_star,delta_E_for_equal_rgb_step,encoded_B,encoded_G,encoded_R,sample
9.010442756551818,0.0,0.0,5.657173341373991,0.1,0.1,0.1,1
48.34119519014557,0.0,0.0,4.547216731399686,0.45,0.45,0.45,2
86.60650264536982,0.0,0.0,4.061682424449373,0.85,0.85,0.85,3
47.76068899536035,58.781248001621435,41.86357817276819,4.077920869205944,0.18,0.22,0.82,4
64.14847285542594,-58.01683395589413,47.27641643775322,4.104615375794872,0.25,0.7,0.18,5
38.315130761782726,43.250917405612434,-77.59138238279984,4.607331262584949,0.86,0.28,0.18,6
