complex,dimension,simplex_counts,boundary_ranks,betti,chi_cells,chi_betti
point,0,[1],[0],[1],1,1
circle_4_edges,1,"[4, 4]","[0, 3]","[1, 1]",0,0
filled_triangle,2,"[3, 3, 1]","[0, 2, 1]","[1, 0, 0]",1,1
tetrahedron_boundary_sphere,2,"[4, 6, 4]","[0, 3, 3]","[1, 0, 1]",2,2
figure_eight,1,"[5, 6]","[0, 4]","[1, 2]",-1,-1
