space,cell_counts,boundary_ranks,betti_ranks,torsion_note,chi_from_cells,chi_from_betti,chi_match
point,"{""0"": 1}",{},"{""0"": 1}",none,1,1,1
S1,"{""0"": 1, ""1"": 1}",{},"{""0"": 1, ""1"": 1}",none,0,0,1
S2,"{""0"": 1, ""1"": 0, ""2"": 1}",{},"{""0"": 1, ""1"": 0, ""2"": 1}",none,2,2,1
T2,"{""0"": 1, ""1"": 2, ""2"": 1}",{},"{""0"": 1, ""1"": 2, ""2"": 1}",none,0,0,1
genus_2_surface,"{""0"": 1, ""1"": 4, ""2"": 1}",{},"{""0"": 1, ""1"": 4, ""2"": 1}",none,-2,-2,1
RP2,"{""0"": 1, ""1"": 1, ""2"": 1}","{""2"": 1}","{""0"": 1, ""1"": 0, ""2"": 0}",H1 has Z/2,1,1,1
CP3,"{""0"": 1, ""1"": 0, ""2"": 1, ""3"": 0, ""4"": 1, ""5"": 0, ""6"": 1}",{},"{""0"": 1, ""1"": 0, ""2"": 1, ""3"": 0, ""4"": 1, ""5"": 0, ""6"": 1}",none,4,4,1
