helly_triple_nonempty,min_pairwise_area,pairwise_nonempty,radius,triple_area
False,0.0,False,0.88,0.0
False,0.0,False,0.91,0.0
False,0.010292283483556326,True,0.94,0.0
False,0.04117666572030468,True,0.97,0.0
False,0.08426589062633393,True,1.0,0.0
False,0.1373312679588395,True,1.03,0.0
False,0.199259116826045,True,1.06,0.0
True,0.269366252363752,True,1.0899999999999999,0.0038773409107477124
True,0.34718729993284825,True,1.1199999999999999,0.016469762808128594
True,0.43238463450552167,True,1.15,0.037299307985818764
