clipped_fraction,luminance_log10_range,luminance_stops,mean_chromaticity_error,mean_gradient,notes,operator
0.0021988304093567253,3.855649851227673,12.808191564841486,0.0006837965875388676,0.00390517845903767,edge-preserving base compressed,bilateral base compression
0.005,4.7197978752132626,15.678829163860614,0.0003528414034415237,0.002819095440045202,clips highlights above selected white,clamp at white point
0.274093567251462,1.2146244832891526,4.034895195776281,0.0310552225889703,0.016230871945400016,plain exposure preview,exposure +3 stops
0.2228654970760234,2.4187444659450774,8.034895195776281,0.026698290889299026,0.013856231679383066,plain exposure preview,exposure -1 stop
0.18214619883040936,3.622864448601002,12.034895195776281,0.02390247572554674,0.01045215158921908,plain exposure preview,exposure -5 stops
0.00195906432748538,4.400219644299833,14.617213260074893,0.000712894300140623,0.008003828626511427,FFT low-frequency base attenuated,frequency base compression
0.09658479532163743,1.9878228098922088,6.603404439838869,0.017443324205747093,0.013329449407608085,global bounded sigmoid after key scaling,global Reinhard
0.001935672514619883,3.2506547205941883,10.798441243120063,0.000644627269130149,0.005369640201566035,large log gradients attenuated then integrated,gradient compression
1.7543859649122806e-05,5.014651926527283,16.658313120812018,4.9871945455773524e-05,0.001616175155820031,divides by global maximum,linear normalize
0.007017543859649123,4.420283997248178,14.683865597839732,0.0013864759282253495,0.026979746592740772,division by Gaussian local average,local division small blur
0.0001345029239766082,2.981093571380364,9.902978488256535,5.780662524559549e-06,0.018313416089946924,Gaussian semi-saturation map,local sigmoid Gaussian
0.0,0.2937732503650243,0.9758936139139532,8.09469411896406e-09,0.010596108910789097,edge-preserving semi-saturation map,local sigmoid bilateral
0.0021169590643274855,4.634655084976665,15.395990936896562,0.0007305620268121568,0.00808427246280412,Gaussian base compressed in density space,log base/detail compression
0.0034444444444444444,2.9347421538914253,9.749002412262177,0.00029261782545067456,0.007510729470815936,global log mapping,log compression
0.0,1.2564289249123453,4.173766544895444,0.0678149172060747,0.014971948351706609,color reconstruction variant,per-channel sigmoid
0.08384795321637427,1.9050811854924814,6.328542713128797,0.0899351727523748,0.013628866069090126,color reconstruction variant,"s = 0.34, stronger desaturation"
0.0923391812865497,1.904123969725788,6.325362911180548,0.0626446772879972,0.01358905840703902,color reconstruction variant,"s = 0.58, desaturated"
0.0992982456140351,1.9022620165652382,6.319177636665154,0.017610549288088636,0.013527043785247063,color reconstruction variant,"s = 1, ratios preserved"
0.0,3.0317188999094213,10.071152189410114,0.2288236792729667,0.01022293248139397,"blue shift, lower contrast, acuity loss",scotopic night operator
