identity,left,right,residual
projectivization relation after splitting,a*b*c + a*b*x + a*c*x + a*x**2 + b*c*x + b*x**2 + c*x**2 + x**3,a*b*c + a*b*x + a*c*x + a*x**2 + b*c*x + b*x**2 + c*x**2 + x**3,0
Whitney product formula for E plus F,a*b*y*z + a*b*y + a*b*z + a*b + a*y*z + a*y + a*z + a + b*y*z + b*y + b*z + b + y*z + y + z + 1,a*b*y*z + a*b*y + a*b*z + a*b + a*y*z + a*y + a*z + a + b*y*z + b*y + b*z + b + y*z + y + z + 1,0
dual bundle signs,-a*b*c + a*b + a*c - a + b*c - b - c + 1,-a*b*c + a*b + a*c - a + b*c - b - c + 1,0
tensor by a line bundle,a*b*c + a*b*y + a*b + a*c*y + a*c + a*y**2 + 2*a*y + a + b*c*y + b*c + b*y**2 + 2*b*y + b + c*y**2 + 2*c*y + c + y**3 + 3*y**2 + 3*y + 1,a*b*c + a*b*y + a*b + a*c*y + a*c + a*y**2 + 2*a*y + a + b*c*y + b*c + b*y**2 + 2*b*y + b + c*y**2 + 2*c*y + c + y**3 + 3*y**2 + 3*y + 1,0
exterior square of a rank 3 bundle,a**2*b + a**2*c + a**2 + a*b**2 + 2*a*b*c + 3*a*b + a*c**2 + 3*a*c + 2*a + b**2*c + b**2 + b*c**2 + 3*b*c + 2*b + c**2 + 2*c + 1,a**2*b + a**2*c + a**2 + a*b**2 + 2*a*b*c + 3*a*b + a*c**2 + 3*a*c + 2*a + b**2*c + b**2 + b*c**2 + 3*b*c + 2*b + c**2 + 2*c + 1,0
top Chern vanishes when one split summand has root 0,0,0,0
