mu,type,center_x,center_y,radius,max_ratio_error
0.45,circle,3.015673981191223,0.0,2.2570532915360504,2.220446049250313e-16
0.65,circle,4.926406926406927,0.0,4.502164502164503,3.3306690738754696e-16
1.0,line,,,,0.0
1.45,circle,-5.6281179138322,-0.0,5.260770975056689,1.3322676295501878e-15
2.2,circle,-3.0416666666666665,-0.0,2.2916666666666665,8.881784197001252e-16
