fiber,g_uu,g_uv,g_vv,schur_precision_gbar_uu,theory_covariance_for_u_tilde,inverse_metric_covariance,simulated_covariance_for_u_tilde,simulation_relative_error
orthogonal fiber,1.1982004773675459,-8.361871944482213e-18,1.0,1.1982004773675459,0.8345848786481929,0.8345848786481929,0.837388551792356,0.0033593624997189
tilted fiber,1.1982004773675459,0.8720075504971844,1.0,0.43780330924344635,2.284130747499528,2.2841307474995283,2.282742019897687,0.0006079895397236806
