N,orthogonal_bias,tilted_bias,orthogonal_variance,tilted_variance,efficient_theory_variance,tilted_theory_variance,tilted_to_orthogonal_variance_ratio
40,0.0019556250000001274,0.004507777777777888,0.020778792299194524,0.04214501177556961,0.02086462196620482,0.041729243932409635,2.0282705158568497
120,-0.0002733333333332366,-0.004018958333333211,0.006627332618689151,0.013177454924909668,0.006954873988734941,0.013909747977469878,1.9883497152005167
360,-0.00260520833333322,-0.003968402777777658,0.0022523665986023287,0.004524517017652816,0.0023182913295783135,0.004636582659156626,2.008783570339054
1080,0.0021704861111111473,0.0030100694444445963,0.0007475446699663759,0.0015082198431069962,0.0007727637765261045,0.0015455275530522085,2.0175648408741043
