left,right,gp,selection,target_grade,recovered,direct,matches_direct
a,B,e2 + 2e1^e2^e3,outer,3,2e1^e2^e3,2e1^e2^e3,True
a,B,e2 + 2e1^e2^e3,left_contract,1,e2,e2,True
a,B,e2 + 2e1^e2^e3,right_contract,-1,0,0,True
a,B,e2 + 2e1^e2^e3,scalar_product,0,0,0,True
